x,y
24,46
25,46
26,46
27,46
28,46
29,46
30,46
31,46
32,46
33,46
34,46
35,46
36,46
37,46
38,46
39,46
40,46
117,46
119,46
120,46
124,46
125,46
65,46
66,46
67,46
68,46
69,46
70,46
71,46
72,46
73,46
74,46
75,46
76,46
77,46
81,46
25,47
26,47
27,47
28,47
29,47
30,47
31,47
32,47
33,47
34,47
35,47
36,47
37,47
38,47
39,47
40,47
64,47
65,47
66,47
67,47
68,47
69,47
70,47
71,47
72,47
73,47
74,47
75,47
76,47
77,47
80,47
81,47
116,47
117,47
118,47
119,47
120,47
121,47
124,47
125,47
27,48
28,48
29,48
30,48
31,48
32,48
33,48
34,48
35,48
36,48
37,48
38,48
39,48
40,48
140,48
65,48
66,48
67,48
68,48
69,48
70,48
71,48
72,48
73,48
74,48
75,48
79,48
80,48
81,48
115,48
116,48
117,48
118,48
119,48
120,48
121,48
122,48
123,48
124,48
125,48
27,49
28,49
29,49
30,49
31,49
32,49
33,49
34,49
35,49
36,49
37,49
38,49
39,49
40,49
80,49
133,49
65,49
66,49
67,49
68,49
69,49
70,49
71,49
72,49
73,49
74,49
79,49
113,49
114,49
115,49
116,49
117,49
118,49
119,49
120,49
121,49
122,49
123,49
124,49
125,49
126,49
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
80,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
79,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
134,50
110,51
111,51
112,51
113,51
114,51
115,51
116,51
117,51
118,51
119,51
120,51
121,51
122,51
123,51
124,51
125,51
126,51
127,51
27,51
28,51
29,51
30,51
31,51
32,51
33,51
34,51
35,51
36,51
37,51
80,51
66,51
67,51
68,51
69,51
70,51
71,51
72,51
73,51
74,51
79,51
110,52
111,52
112,52
113,52
114,52
115,52
116,52
117,52
118,52
119,52
120,52
121,52
122,52
123,52
124,52
125,52
126,52
127,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
27,53
28,53
29,53
30,53
31,53
32,53
33,53
34,53
35,53
36,53
37,53
110,53
111,53
112,53
113,53
114,53
115,53
116,53
117,53
118,53
119,53
120,53
121,53
122,53
123,53
124,53
125,53
126,53
127,53
66,53
67,53
68,53
69,53
70,53
71,53
72,53
73,53
110,54
111,54
112,54
113,54
114,54
115,54
116,54
117,54
118,54
119,54
120,54
121,54
122,54
123,54
124,54
125,54
126,54
127,54
27,54
28,54
29,54
30,54
31,54
32,54
33,54
34,54
35,54
36,54
67,54
68,54
69,54
70,54
71,54
72,54
110,55
111,55
112,55
113,55
114,55
115,55
116,55
117,55
118,55
119,55
120,55
121,55
122,55
123,55
124,55
125,55
126,55
28,55
29,55
30,55
31,55
32,55
33,55
34,55
35,55
36,55
67,55
68,55
69,55
70,55
71,55
28,56
29,56
30,56
31,56
32,56
33,56
34,56
35,56
110,56
111,56
112,56
118,56
120,56
121,56
122,56
123,56
124,56
125,56
67,56
68,56
69,56
70,56
28,57
29,57
30,57
31,57
32,57
33,57
34,57
120,57
121,57
122,57
123,57
124,57
135,58
28,58
29,58
30,58
31,58
32,58
33,58
34,58
120,58
121,58
122,58
123,58
134,59
28,59
29,59
30,59
31,59
32,59
121,60
132,60
29,60
30,60
31,60
130,61
131,61
29,61
30,61
31,61
29,62
30,62
128,62
129,62
31,62
29,63
30,63
31,63
32,63
30,64
31,64
31,65
35,65
32,66
33,66
